GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,PROMEDIO ACTIVOS,VARIACION GANANCIA (PERDIDA),GANANCIA (PERDIDA) PROMEDIO
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.24218596700748693,1700581765.0,-0.08804553713129744,-154396900.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.14219308004312042,1167354840.0,0.18134639345677947,154719355.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.16252264182570528,462889615.0,0.20953387043099378,28550050.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.11605510137610249,4977192915.0,-0.03391426271949926,516611490.0
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.2817586235151049,1279168750.0,1.5684565341299948,12709165.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.06499961006049547,6570762545.0,-0.930859907635579,-253515060.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.006895236331149108,13316608180.0,-0.2912403332400636,182687110.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.21651505219264836,1891022665.0,0.127260088844203,61695765.0
2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,-0.06623939816794362,349253650.0,0.6633811255321043,88441845.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.007835594399901986,994278560.0,0.5504839622876406,23559560.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.06247050725938651,6271715870.0,0.3112271477709297,149996400.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.02555259527987677,1922072275.0,-2.2157018847870686,-4245630.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.29603279831512674,12965809595.0,-0.0076025879725706794,6370445680.0
2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.04255344447161328,2575917725.0,0.6398436729711995,116467395.0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.1275689009824938,2563189910.0,0.011772766810775612,74518920.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.22431056135337257,235502295.0,1.5598454523519332,5753885.0
