GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,GANANCIA (PERDIDA) PROMEDIO,kmean,cluster
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.1590147947345621,49279250.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.0581839673570594,15462215.0,0,3
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.2815336864784208,-33339020.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0022516812651494,654631560.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.1478671546929734,8918890.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.1545443443950103,38524945.0,0,3
2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.2558945622883415,71457225.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0553048791035613,268451845.0,0,3
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.1565123359688173,-65153385.0,0,3
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0786256489213303,600565.0,0,3
2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0658283680540194,66606965.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0546879196569711,-9520070.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.2437031904527691,-308895580.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0228733171102513,164144265.0,0,3
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0826949278441278,-73315975.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.0682995445565967,-155406650.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.3348291327574335,14175975.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0950401342391818,234445745.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.0955561965632983,122743195.0,0,3
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0537088373341107,776862155.0,0,3
2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0231398173656561,5102175.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.2108237004523663,83160900.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0908136341540345,-268912605.0,0,3
2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.0677684790039399,99075685.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0611816384038575,248392895.0,0,3
2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.1317466352928598,42037820.0,0,3
